猫と犬どっちが好き？	犬派かも～💗でもどっちも好き😆😆
ＣＭの女王って言い方が面白い	誰が1位だっけ～？
明らかな失敗をどうすれば改善できるかな	ケイもたくさん失敗して、試行錯誤してうまくできたらそれを覚えるようにしてるよ💕
集中してると周りが見えなくなる	それだけ集中してるんだよね👀
隣の生活音がうるさい	音漏れがひどいのかな？！💦
生活してるとどうしても下らないことに悩まされる	しかたないことかもね💦
飴玉はお腹に優しい	喉にも優しいよね💕
焙じ茶もできれば熱い方がいいね	熱いお茶ってなんかいいよね🍵
茶畑を持ちたいと思うんだ	ステキ✨✨茶葉ができたら是非お茶が飲みたいな💕
子どもが泣いてるのにキレる大人って大人気ないよね	こどもに声をかけてほしいよね👄👂
大人が泣くと、子どもは泣きやむらしい	そうなんだ！覚えておこう😝😝
子どもに両親の仲が良いところを見せると喜ぶって	親が仲良しだと子供も嬉しくなるよね😊💗
両親がケンカすると、とても悲しくなった記憶がある	ケイもあるかも💦悲しくなっちゃうよね💦
家出したけど、親は捜しに来なかった	え～！悲しい😢でもお家でちゃんと心配して待ってたかもよ😢
食べ放題は元取らなきゃ損	分かる～！😝でも満腹で苦しくなっちゃうんだよね😂
めちゃくちゃ高額な食べ放題は、そもそも元もへったくれもない	食べ放題は元取らないとやっていけないよね～😝💦
寿司の食べ放題が好きだけど、トロ苦手・・・	トロ以外を攻めよう😎😎💕
食べ放題とバイキングとビュッフェって違いがあるの？	バイキングは食べ放題、ビュッフェはセルフ式食事らしいよ🍚
焼肉屋のバイキングに寿司があるのはどうして・・・	お口直しかな？😂😂
スイーツバイキングは全然食べられないんだけど、女子すごいね	女子は甘いものが大好きだからね💗💗
正座してるとすぐ足が痺れる	長時間の正座は無理かも・・😂(笑)
あぐらって、実は体によくないらしいよ	え～そうなんだ！あんまりしないようにしよう😊💗
昔はあぐらで茶道はやってたって聞いたけど	そうなんだ！😲着物であぐらってかけるんだね～😲😲
抹茶好き？	ケイは好きだよ😊💗
いつまでも子どものままでいたいな	ケイは早く大人になりたいよ～✨✨
子どもって欲しい？	ケイは子だくさんがいいなぁぁ👶👶
ゴマかと思ったら虫だった	ゴマ虫だぁ～😂😂
なんかタガメやゲンゴロウを揚げたものは美味しくなさそう	虫は基本的食べたくないな～💦
蛇って懐くのかな	懐いたらきっと可愛いよね😘😘
ウーパールーパーを飼ってみたいんだ	可愛いよね😍ケイも飼ってみたい😊
就職してから自由のありがたさを知った	ケイは今の内に自由を満喫します💕(笑)
焼き鳥はタレと塩どっちが好き？	ケイはたれ派かな✨✨
焼き鳥と、やきとりの違いって知ってる？	知りません！教えて～😲😲✨✨
ホルモンヌって最近は言わなくなったね	どうゆう意味なの？😊
女子会がよくて、男子会は差別に当たるって謎	男子会って差別になるの？？😲
トイレで長居すると家族に怒られる	次に入りたい人がいるかも💦(笑)
吸盤って楽しいよ	楽しみを教えてほしいな😘✨
タコの卵ってみたことある？	ないな～～💦
子持ちカレイは美味しいけど、身はパサパサなんだね	子持ちだから？😲😲
やつれた顔をしてた	なにかあったのかな？
鉄火巻って博打しながら食べてたんだって	そうなんだ～😲中身が落ちないようにかなぁ😝😝
賭け麻雀はよくないね	賭けは良くないな～～😲💦
自分で楽しむ程度で止められないなら、遊ぶべきじゃない	なにごとも加減が大事だよね✨✨
風俗営業はやっぱりヤクザが絡むね	ケイにその話はちょっと…💦
昔の極道と、今のヤクザだと大分違うよ	どう違うんだろう？😲😲
最近のインスタントラーメンは美味しくなった	昔はおいしくなかったの？
カップラーメンって、美味しい時間で食べないと台無しだよ	お湯を入れて3分後が一番ベストだよね💕💕
カップ焼きそばに湯を捨てる前にソース入れちゃった・・・	ケイもそれやったことある💦
カップヌードルにご飯を入れたものが出るとは思わなかった	そういうのもあるんだね～✨✨😲
ラーメンが好きすぎて、カップラーメンは食べないんだ	こだわるってやつだね🍜
西欧ではラードを調味料としてパンに塗ったりして食べるよ	すっごくお腹が重たくなりそう😂😂
日本人はまだ肉の食べ方を知らないところが多い	肉の食べ方なんてあるの？🍖
テレビが勝手についたと思ったら予約してただけだった	もう、びっくりしちゃうじゃーん！😲😂✨
見たいテレビがあるなら、それまでにやることやっておけばいいのに	ケイはいつもそうしてるよ✎
わからずやには何を言っても無駄	頑固なんだね💦😂
豚に真珠っていうけど、豚だって美味しいものの価値は分かるよ	豚はちゃんとわかってそう😂😂
トリュフを採ろうとして犬とケンカになる飼い主も多いとか	ワンちゃんもトリュフの美味しさには我を忘れるんだね😂💕
サンタクロースはいると思う	絶対いると思う🎅🎄
鷹狩りに憧れるんだけど	かっこいいよね～✨✨ケイにもできるかな！？？
日本の馬術と、西洋の馬術だとやっぱり違うんだろうね	そうかもしれないね～～🐎
弓道って貧乳じゃなきゃ無理じゃね	経験したことないからわかりませーん😂😂
女性の敵は女性なんだろうか	女性同士の争いはよくあることだよね💦
家庭の味っていいよね	安定の美味しさだよね💕💕
仕事も家事も子育ても、男性の能力が上回ったら、女性の存在意義無いよね	女子力高い系男子ね👨
お互いに出来ないでいる部分があることで、互いを補おうとするんじゃないの？	完璧な人なんていないもんね💔
完璧な人って、もう成長しない人だよね	いや、まだまだ成長するかも💦
マンゴーって皮膚炎になることがあるよ	そうなの！？沖縄出身なのに知らなかった―😫😫
